x1,y1,z1,x2,y2,z2
2.0,-14.1697702408,17.5729598999,10.0,-14.1697702408,17.5729598999
2.0,-14.6823329926,18.8103961945,10.0,-14.6823329926,18.8103961945
2.0,-14.1697702408,20.047832489,10.0,-14.1697702408,20.047832489
2.0,-12.9323329926,20.5603961945,10.0,-12.9323329926,20.5603961945
2.0,-11.694896698,20.047832489,10.0,-11.694896698,20.047832489
2.0,-11.1823329926,18.8103961945,10.0,-11.1823329926,18.8103961945
3.93038194593e-16,6.41880083084,16.9193096161,8.0,6.41880083084,16.9193096161
3.78238064686e-16,6.17709636688,18.4453716278,8.0,6.17709636688,18.4453716278
3.11339267816e-16,5.08455610275,19.5379123688,8.0,5.08455610275,19.5379123688
2.1789490532e-16,3.55849385262,19.7796173096,8.0,3.55849385262,19.7796173096
1.33597515439e-16,2.18181300163,19.078163147,8.0,2.18181300163,19.078163147
9.06458502896e-17,1.48035907745,17.7014827728,8.0,1.48035907745,17.7014827728
1.05445987495e-16,1.72206366062,16.1754207611,8.0,1.72206366062,16.1754207611
1.72344777066e-16,2.81460380554,15.0828800201,8.0,2.81460380554,15.0828800201
2.65789154162e-16,4.3406662941,14.8411750793,8.0,4.3406662941,14.8411750793
2.0,4.3406662941,14.8411750793,10.0,4.3406662941,14.8411750793
2.0,2.81460380554,15.0828800201,10.0,2.81460380554,15.0828800201
2.0,1.72206366062,16.1754207611,10.0,1.72206366062,16.1754207611
2.0,1.48035907745,17.7014827728,10.0,1.48035907745,17.7014827728
2.0,2.18181300163,19.078163147,10.0,2.18181300163,19.078163147
2.0,3.55849385262,19.7796173096,10.0,3.55849385262,19.7796173096
2.0,5.08455610275,19.5379123688,10.0,5.08455610275,19.5379123688
2.0,6.17709636688,18.4453716278,10.0,6.17709636688,18.4453716278
2.0,6.41880083084,16.9193096161,10.0,6.41880083084,16.9193096161
3.45252080006e-17,0.563839435577,5.25149250031,8.0,0.563839435577,5.25149250031
7.62340208317e-18,0.124499604106,6.31215286255,8.0,0.124499604106,6.31215286255
-5.73233019354e-17,-0.936160564423,6.75149250031,8.0,-0.936160564423,6.75149250031
-1.22270003217e-16,-1.99682068825,6.31215286255,8.0,-1.99682068825,6.31215286255
-1.49171811871e-16,-2.43616056442,5.25149250031,8.0,-2.43616056442,5.25149250031
-1.22270003217e-16,-1.99682068825,4.1908326149,8.0,-1.99682068825,4.1908326149
-5.73233019354e-17,-0.936160564423,3.75149273872,8.0,-0.936160564423,3.75149273872
2.0,-0.936160564423,3.75149273872,10.0,-0.936160564423,3.75149273872
2.0,-1.99682068825,4.1908326149,10.0,-1.99682068825,4.1908326149
